"ratId","muscle","ipsi","contra"
"J5","RF",1.29,1.23
"J5","VI",0.2,0.18
"J5","VL",0.31,1.05
"J5","VM",0.27,0.36
"J9","RF",1.37,1.16
"J9","VI",0.27,0.24
"J9","VL",0.59,1.24
"J9","VM",0.44,0.4
"Rat21","RF",1.45,1.36
"Rat21","VI",0.2,0.14
"Rat21","VL",0.4,1.65
"Rat21","VM",0.7,0.58
"Rat22","RF",1.19,1.07
"Rat22","VI",0.19,0.17
"Rat22","VL",0.3,1.23
"Rat22","VM",0.54,0.51
"Rat24","RF",1.17,1.15
"Rat24","VI",0.19,0.25
"Rat24","VL",0.34,1.41
"Rat24","VM",0.48,0.56
"Rat25","RF",1.31,1.2
"Rat25","VI",0.21,0.16
"Rat25","VL",0.36,1.54
"Rat25","VM",0.58,0.65
