"ratID","des_days","joint","cycle","data"
"rat21",-1,"knee",1,38.8322032929132
"rat21",-1,"knee",2,37.8044317508094
"rat21",-1,"knee",3,39.7075822789667
"rat21",-1,"knee",4,38.8725329291163
"rat21",-1,"knee",8,39.5501822144303
"rat21",-1,"knee",9,41.9101998528203
"rat21",-1,"knee",13,41.5941461157377
"rat21",-1,"knee",15,41.3229634099406
"rat21",-1,"knee",16,41.7828034384189
"rat21",-1,"knee",19,35.3037910036889
"rat21",-1,"knee",20,41.5880923702044
"rat21",-1,"knee",21,39.140104754654
"rat21",-1,"knee",23,38.0914893142351
"rat21",-1,"knee",24,43.183360241263
"rat21",-1,"knee",25,39.8707060994409
"rat21",-1,"knee",26,35.6314363064987
"rat21",-1,"knee",27,36.9092395265255
"rat21",-1,"knee",28,34.2499345527782
"rat21",-1,"knee",29,39.3310795964628
"rat21",-1,"knee",30,39.9127943228259
"rat21",-1,"knee",31,38.7312170861869
"rat21",-1,"knee",35,49.7258813606287
"rat21",-1,"knee",36,36.6724565040129
"rat21",-1,"knee",38,35.2244960406419
"rat21",-1,"knee",39,37.5050232678582
"rat21",-1,"knee",40,37.3920582287408
"rat21",-1,"knee",41,36.7305583495695
"rat21",-1,"knee",42,39.0295469966523
"rat21",-1,"knee",43,37.4103657898284
"rat21",-1,"knee",44,36.0918344197215
"rat21",-1,"knee",45,39.3168447435829
"rat21",-1,"knee",51,38.1775346691073
"rat21",-1,"knee",52,39.5178066307821
"rat21",-1,"knee",53,42.8413714340936
"rat21",-1,"knee",56,35.281176367353
"rat21",-1,"knee",64,39.9681273498093
"rat21",-1,"knee",67,37.2296493504975
"rat21",-1,"knee",68,38.2266124929689
"rat21",-1,"knee",70,41.4389290975562
"rat21",-1,"knee",71,37.7438524108175
"rat21",-1,"knee",72,39.2977935800815
"rat21",-1,"knee",73,39.9713334747795
"rat21",-1,"knee",74,35.8566310792054
"rat21",-1,"knee",75,40.9179840059686
"rat21",-1,"knee",76,39.2977376405874
"rat21",-1,"knee",77,35.9384769912146
"rat21",-1,"knee",78,38.3332961582001
"rat21",-1,"knee",82,43.327756872778
"rat21",-1,"knee",83,39.5776250090109
"rat21",-1,"knee",84,40.2666979007484
"rat21",-1,"knee",85,37.4202442449205
"rat21",-1,"knee",86,36.5872080576157
"rat21",-1,"knee",87,37.5289079244714
"rat21",-1,"knee",88,38.5142129388715
"rat21",-1,"knee",89,37.5467371791118
"rat21",-1,"knee",92,36.8457189455393
"rat21",-1,"knee",93,35.8746930063983
"rat21",-1,"knee",94,39.0417990952949
"rat21",-1,"knee",95,35.6018754209449
"rat21",-1,"knee",98,41.6286854791007
"rat21",-1,"knee",99,36.1785248715646
"rat21",-1,"knee",102,37.6734159083124
"rat21",-1,"knee",103,36.8416307038962
"rat21",-1,"knee",104,36.4375763369888
"rat21",-1,"knee",105,36.9276605606484
"rat21",-1,"knee",108,36.9504430084949
"rat21",-1,"knee",109,37.4972899696231
"rat21",-1,"knee",110,37.30639809333
"rat21",-1,"knee",111,40.2636473314835
"rat21",-1,"knee",112,39.8956792506298
"rat21",-1,"knee",113,38.9456848008994
"rat21",-1,"knee",115,33.2316328958827
"rat21",-1,"knee",116,39.2011241811578
"rat21",-1,"knee",117,37.4357943731827
"rat21",-1,"knee",118,39.9889182056624
"rat21",-1,"knee",119,37.9145884009095
"rat21",-1,"knee",120,34.9364162530979
"rat21",-1,"knee",121,35.6267801507263
"rat21",-1,"knee",122,37.684422024475
"rat21",-1,"knee",123,37.9933204917767
"rat21",-1,"knee",124,39.4904198286623
"rat21",-1,"knee",125,37.4484340805458
"rat21",-1,"knee",126,38.1011309488458
"rat21",-1,"knee",127,37.0541762859262
"rat21",-1,"knee",128,39.9889277142902
"rat21",-1,"knee",129,37.3352211296636
"rat21",-1,"knee",130,39.9948208753312
"rat21",-1,"knee",131,39.6650943075514
"rat21",-1,"knee",132,31.5066359044934
"rat21",-1,"knee",133,39.8230842785839
"rat21",-1,"knee",135,36.8760516556059
"rat21",-1,"ankle",1,74.6707011378847
"rat21",-1,"ankle",2,60.7049330389306
"rat21",-1,"ankle",3,60.5566769672769
"rat21",-1,"ankle",4,65.5035389800815
"rat21",-1,"ankle",8,46.0510085762296
"rat21",-1,"ankle",9,52.1767525049114
"rat21",-1,"ankle",13,40.4964246242074
"rat21",-1,"ankle",15,39.2218703695893
"rat21",-1,"ankle",16,51.0684850136905
"rat21",-1,"ankle",19,53.5320344969493
"rat21",-1,"ankle",20,48.2530239340065
"rat21",-1,"ankle",21,58.187852792716
"rat21",-1,"ankle",25,63.4063444692425
"rat21",-1,"ankle",26,57.5451612147089
"rat21",-1,"ankle",27,60.9749878553071
"rat21",-1,"ankle",28,64.4517045160941
"rat21",-1,"ankle",29,61.843531317125
"rat21",-1,"ankle",30,56.1436620816467
"rat21",-1,"ankle",31,63.2166961773694
"rat21",-1,"ankle",36,58.8028672174113
"rat21",-1,"ankle",38,60.9347281941507
"rat21",-1,"ankle",39,75.274691027131
"rat21",-1,"ankle",40,61.5520528329244
"rat21",-1,"ankle",41,49.9517789067566
"rat21",-1,"ankle",42,39.9751040851658
"rat21",-1,"ankle",43,46.8506716733189
"rat21",-1,"ankle",44,68.9428783452731
"rat21",-1,"ankle",45,58.2986737801443
"rat21",-1,"ankle",51,64.2799924025644
"rat21",-1,"ankle",52,66.4406998646548
"rat21",-1,"ankle",53,58.7766162127716
"rat21",-1,"ankle",56,66.5690940423095
"rat21",-1,"ankle",64,49.5329131245645
"rat21",-1,"ankle",67,25.4763874709763
"rat21",-1,"ankle",68,54.4262729192239
"rat21",-1,"ankle",70,56.3889811017306
"rat21",-1,"ankle",71,65.5120529931714
"rat21",-1,"ankle",72,68.6897559283824
"rat21",-1,"ankle",73,66.1792947652345
"rat21",-1,"ankle",74,60.334328096807
"rat21",-1,"ankle",75,58.9260775409179
"rat21",-1,"ankle",76,55.8562403023233
"rat21",-1,"ankle",77,53.0272059014019
"rat21",-1,"ankle",78,54.8646419903246
"rat21",-1,"ankle",82,53.8109652761385
"rat21",-1,"ankle",83,67.3290110914193
"rat21",-1,"ankle",84,49.43376328339
"rat21",-1,"ankle",85,48.9130585918439
"rat21",-1,"ankle",86,59.5805076729048
"rat21",-1,"ankle",87,48.1737076510947
"rat21",-1,"ankle",88,55.9312609736105
"rat21",-1,"ankle",89,66.2841888290827
"rat21",-1,"ankle",92,56.5363647511942
"rat21",-1,"ankle",93,60.1632273148742
"rat21",-1,"ankle",94,60.8810600641245
"rat21",-1,"ankle",95,56.1326706886091
"rat21",-1,"ankle",98,53.2755883350406
"rat21",-1,"ankle",99,61.0965352103647
"rat21",-1,"ankle",102,65.0194907354898
"rat21",-1,"ankle",103,57.2383725682334
"rat21",-1,"ankle",104,56.4388901360866
"rat21",-1,"ankle",105,54.9310075688754
"rat21",-1,"ankle",108,61.1197129278896
"rat21",-1,"ankle",109,63.3683025288045
"rat21",-1,"ankle",110,54.2033705247164
"rat21",-1,"ankle",111,49.148265736887
"rat21",-1,"ankle",112,56.0558847469448
"rat21",-1,"ankle",113,53.6783761179614
"rat21",-1,"ankle",115,65.3527279463821
"rat21",-1,"ankle",116,55.3361133296486
"rat21",-1,"ankle",117,64.7163293645459
"rat21",-1,"ankle",118,54.5074931633454
"rat21",-1,"ankle",119,53.0096902883055
"rat21",-1,"ankle",120,57.2784154474109
"rat21",-1,"ankle",121,61.4227206535882
"rat21",-1,"ankle",122,54.5815844844819
"rat21",-1,"ankle",123,54.9800029484006
"rat21",-1,"ankle",124,51.4381202085427
"rat21",-1,"ankle",125,51.6814612374293
"rat21",-1,"ankle",126,58.7300346403524
"rat21",-1,"ankle",127,54.4681548339368
