"ratID","des_days","joint","cycle","data"
"rat21",-1,"knee",1,62.150532547341
"rat21",-1,"knee",2,67.6854450739868
"rat21",-1,"knee",3,64.0486726292891
"rat21",-1,"knee",4,72.2473685921402
"rat21",-1,"knee",5,67.4547440483232
"rat21",-1,"knee",8,66.8751156016735
"rat21",-1,"knee",9,66.0527473392356
"rat21",-1,"knee",14,58.2775232324196
"rat21",-1,"knee",16,66.9429475672424
"rat21",-1,"knee",20,65.8501319251159
"rat21",-1,"knee",21,77.6097427523419
"rat21",-1,"knee",25,77.6870049483247
"rat21",-1,"knee",26,74.1237066685304
"rat21",-1,"knee",27,62.6359741028671
"rat21",-1,"knee",28,68.0082845976384
"rat21",-1,"knee",29,68.1051469945377
"rat21",-1,"knee",30,66.6659267503868
"rat21",-1,"knee",31,66.7762232086151
"rat21",-1,"knee",36,69.2601278215257
"rat21",-1,"knee",38,75.2426548784822
"rat21",-1,"knee",39,74.7101971793723
"rat21",-1,"knee",40,71.1011928359069
"rat21",-1,"knee",41,76.6678912178277
"rat21",-1,"knee",42,58.8383920555918
"rat21",-1,"knee",43,62.9657954210872
"rat21",-1,"knee",44,71.9835280447409
"rat21",-1,"knee",45,65.446557384399
"rat21",-1,"knee",51,71.3232750655665
"rat21",-1,"knee",52,64.6943057741478
"rat21",-1,"knee",53,61.6879369964902
"rat21",-1,"knee",56,79.5489728729231
"rat21",-1,"knee",62,68.5299148727083
"rat21",-1,"knee",67,57.0784622194239
"rat21",-1,"knee",68,74.978098063949
"rat21",-1,"knee",69,66.2260007448893
"rat21",-1,"knee",70,60.9823711951203
"rat21",-1,"knee",71,66.6542051403756
"rat21",-1,"knee",72,69.4838681633373
"rat21",-1,"knee",73,73.958112635242
"rat21",-1,"knee",74,69.3848366035297
"rat21",-1,"knee",75,69.035987515811
"rat21",-1,"knee",76,64.6189351045209
"rat21",-1,"knee",77,66.2593346532979
"rat21",-1,"knee",78,67.6784136162681
"rat21",-1,"knee",82,50.9013538023127
"rat21",-1,"knee",83,70.098687097826
"rat21",-1,"knee",84,57.2438139465893
"rat21",-1,"knee",85,74.1965221146733
"rat21",-1,"knee",86,68.4687469024009
"rat21",-1,"knee",87,69.1634779338531
"rat21",-1,"knee",88,69.6492593227692
"rat21",-1,"knee",89,71.4612412252535
"rat21",-1,"knee",90,76.640238079888
"rat21",-1,"knee",92,79.8845111195715
"rat21",-1,"knee",95,61.8975772768124
"rat21",-1,"knee",97,65.9372187358372
"rat21",-1,"knee",98,74.1624923792785
"rat21",-1,"knee",99,77.2846902091007
"rat21",-1,"knee",102,71.9761437606568
"rat21",-1,"knee",103,73.6244603204893
"rat21",-1,"knee",104,72.4330801736923
"rat21",-1,"knee",105,68.9829514273098
"rat21",-1,"knee",108,75.9280800944784
"rat21",-1,"knee",109,73.6648802539673
"rat21",-1,"knee",110,69.4821807267421
"rat21",-1,"knee",111,59.9029230313496
"rat21",-1,"knee",112,59.139472832894
"rat21",-1,"knee",113,59.4597035371731
"rat21",-1,"knee",116,75.7672464033609
"rat21",-1,"knee",117,76.5219349574314
"rat21",-1,"knee",118,63.193937543276
"rat21",-1,"knee",119,65.6364242626829
"rat21",-1,"knee",120,65.8894384425627
"rat21",-1,"knee",121,72.2092811515015
"rat21",-1,"knee",122,58.3261079127663
"rat21",-1,"knee",123,69.0134583656603
"rat21",-1,"knee",124,63.7357294123645
"rat21",-1,"knee",125,65.3509059801036
"rat21",-1,"knee",126,63.2635261107183
"rat21",-1,"knee",127,70.7131017595175
